customer_id,customer_name,gender,city,signup_date
1,Arjun Sharma,Male,Mumbai,2024-08-07
2,Vikram Mehta,Female,Pune,2024-06-11
3,Kunal Gupta,Female,Ahmedabad,2024-08-07
4,Arjun Chauhan,Female,Kolkata,2024-09-26
5,Aditya Saini,Male,Jaipur,2025-09-23
6,Isha Verma,Male,Chennai,2025-02-03
7,Aarav Singh,Male,Chennai,2024-06-30
8,Amit Mehta,Female,Jaipur,2025-09-09
9,Riya Bansal,Female,Mumbai,2025-12-29
10,Aarav Chauhan,Female,Hyderabad,2024-07-23
11,Amit Chauhan,Male,Mumbai,2025-08-04
12,Isha Mehta,Female,Lucknow,2025-07-09
13,Neha Saini,Female,Lucknow,2024-08-15
14,Vikram Sharma,Male,Delhi,2025-11-26
15,Rohan Iyer,Male,Chennai,2025-09-10
16,Priya Patel,Male,Ahmedabad,2025-08-18
17,Rahul Bisht,Male,Mumbai,2024-09-06
18,Priya Kumar,Male,Pune,2025-03-16
19,Aditya Reddy,Male,Ahmedabad,2025-06-16
20,Arjun Kapoor,Male,Delhi,2024-07-14
21,Sneha Bansal,Female,Chennai,2025-11-20
22,Vikram Verma,Male,Bangalore,2025-06-02
23,Neha Chauhan,Male,Ahmedabad,2024-03-10
24,Arjun Reddy,Male,Lucknow,2025-09-30
25,Aditya Chauhan,Male,Lucknow,2025-02-02
26,Nikhil Bansal,Female,Hyderabad,2025-11-02
27,Sneha Saini,Male,Ahmedabad,2024-07-21
28,Amit Singh,Male,Jaipur,2024-05-27
29,Vivaan Mehta,Female,Bangalore,2025-04-16
30,Nikhil Singh,Male,Jaipur,2025-10-16
31,Kunal Kumar,Female,Delhi,2024-07-17
32,Ananya Patel,Male,Pune,2025-03-01
33,Neha Kapoor,Male,Mumbai,2025-10-27
34,Rohan Kapoor,Female,Delhi,2025-05-06
35,Sneha Bisht,Female,Delhi,2024-05-21
36,Vikram Singh,Female,Chennai,2024-11-08
37,Meera Joshi,Male,Bangalore,2024-06-13
38,Kavya Mehta,Male,Kolkata,2024-11-09
39,Rohan Nair,Female,Delhi,2024-01-21
40,Ananya Patel,Male,Bangalore,2024-03-22
41,Kavya Mehta,Male,Pune,2025-08-03
42,Priya Verma,Male,Jaipur,2024-05-10
